pdb_id,pdb_path,chain1,chain2,lig_code,lig_smiles,lig_resi
SARS-b0172a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0172a.pdb,A,A,LIG,COC1CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0172b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0172b.pdb,B,B,LIG,COC1CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0173a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0173a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)CCS2(=O)=O,410
SARS-b0173b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0173b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)CCS2(=O)=O,602
SARS-b0174a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0174a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)CS(=O)(=O)C2,410
SARS-b0174b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0174b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CC1)CS(=O)(=O)C2,602
SARS-b0175a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0175a.pdb,A,A,LIG,COC(C)(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,410
SARS-b0175b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0175b.pdb,B,B,LIG,COC(C)(C)C1CCN(C(=O)Cc2cncc3ccccc23)CC1,602
SARS-b0177a.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0177a.pdb,A,A,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCC2)CC1,410
SARS-b0177b.pdb,/Users/hannah/Documents/Study/DPhil/Y1/Rotation 1/CoV-Mpro/SARS_Mpro/SARS-b0177b.pdb,B,B,LIG,O=C(Cc1cncc2ccccc12)N1CCC2(CCC2)CC1,602
